"model","setSize","model.ID","estimate","estimate.type"
"bias","s3",3538,0.278000000053333,"y-int"
"bias","s3",3538,0.0739047618942857,"slope"
"bias","s3",3539,0.3017777778,"y-int"
"bias","s3",3539,0.0464761904714286,"slope"
"bias","s3",3540,0.362222222226667,"y-int"
"bias","s3",3540,0.0138095238114286,"slope"
"bias","s3",3541,0.304666666666667,"y-int"
"bias","s3",3541,0.0210476190428571,"slope"
"bias","s3",3542,0.26244444446,"y-int"
"bias","s3",3542,0.0762857142828571,"slope"
"bias","s3",3543,0.33155555556,"y-int"
"bias","s3",3543,0.0449523809542857,"slope"
"bias","s3",3544,0.3202222222,"y-int"
"bias","s3",3544,0.0205714285714286,"slope"
"bias","s3",3545,0.269777777713333,"y-int"
"bias","s3",3545,0.0284761904914285,"slope"
"bias","s3",3546,0.21244444446,"y-int"
"bias","s3",3546,0.0877142857114286,"slope"
"bias","s3",3547,0.311111111113334,"y-int"
"bias","s3",3547,0.0438095238057143,"slope"
"bias","s3",3548,0.308222222186667,"y-int"
"bias","s3",3548,0.0220952381085714,"slope"
"bias","s3",3549,0.333555555513333,"y-int"
"bias","s3",3549,0.0143809523914286,"slope"
"bias","s3",3550,0.283555555506667,"y-int"
"bias","s3",3550,0.0753333333457143,"slope"
"bias","s3",3551,0.402000000026667,"y-int"
"bias","s3",3551,0.0265714285685714,"slope"
"bias","s3",3552,0.331333333373333,"y-int"
"bias","s3",3552,0.0177142857028571,"slope"
"bias","s3",3553,0.282222222206667,"y-int"
"bias","s3",3553,0.0171428571457143,"slope"
"bias","s3",3554,0.301555555606667,"y-int"
"bias","s3",3554,0.0711428571314286,"slope"
"bias","s3",3555,0.32066666662,"y-int"
"bias","s3",3555,0.0402857142942857,"slope"
"bias","s3",3556,0.30288888886,"y-int"
"bias","s3",3556,0.02933333334,"slope"
"bias","s3",3557,0.299111111093334,"y-int"
"bias","s3",3557,0.0224761904828571,"slope"
"bias","s3",3558,0.3013333333,"y-int"
"bias","s3",3558,0.0710476190571429,"slope"
"bias","s3",3559,0.315777777793333,"y-int"
"bias","s3",3559,0.0419999999971428,"slope"
"bias","s3",3560,0.320444444426667,"y-int"
"bias","s3",3560,0.0220952380971428,"slope"
"bias","s3",3561,0.366444444433333,"y-int"
"bias","s3",3561,0.00895238095714285,"slope"
"bias","s3",3562,0.230888888833333,"y-int"
"bias","s3",3562,0.0837142857285714,"slope"
