participant,Intromessage,initials,birthdate,age,sex,gender,ethnicity,race,education,handedness,nativeenglish,secondlang,whatseclang,LangClassification,colorblind,whatcolorblind,outromessage,CollinsNaming,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.9f5cec5a-59ed-434d-8a59-ac89dc7f6038.txt,4288,3345,6558,3077,3341,2715,15970,3313,19299,3189,1765,2184,"",8479,2675,"",2304,"",22527,2020-06-05-01-15,2020-06-05-01-27,12
s.ced72b48-ecb7-487f-88b0-c50d32e4c71d.txt,1598,3316,6095,2779,2031,1837,3798,1652,5904,2883,2461,2433,2979,6049,2377,"",1054,"",18664,2020-06-03-07-07,2020-06-03-07-19,12
s.49683ec0-c070-4414-8b00-8b9fd6a006fe.txt,4960,8943,10403,3896,3106,2725,3228,2999,18994,3603,2685,2035,5082,14851,2508,"",1907,"",10291,2020-06-04-03-21,2020-06-04-03-40,19
s.66a35cc6-2dd6-49c5-8abf-392ec58da985.txt,1685,59689,6172,3222,1929,1798,7245,5132,6921,4396,4073,1891,"",2658,3677,"",1099,"",343200,2020-06-04-06-42,2020-06-04-06-55,13
s.c8bed2e7-560f-4054-a6e1-d82c83b38c16.txt,1350,5830,6552,2735,2230,1496,2968,2046,2664,3849,2789,1459,5871,4595,2459,"",817,"",24276,2020-06-03-08-54,"",""
s.1e484edc-55d1-4763-9d85-f5da4f4e226c.txt,23225,7799,7429,2394,1725,1683,1839,1499,16298,2419,2127,2663,"",7867,2197,"",1682,"",12575,2020-06-03-19-41,2020-06-03-19-50,9
s.0f070954-a1fb-4cd6-85db-a9a0c886e627.txt,10035,4146,7741,5439,2595,2291,3771,2142,4669,3170,2831,3280,3879,23001,2195,"",1251,"",20512,2020-06-03-14-01,2020-06-03-14-27,26
s.00d73753-ed07-4c3d-b0cd-a867a57e5133.txt,1099,5392,4698,2939,2542,2033,1788,3608,3771,2595,1619,2439,5271,3815,3143,"",1142,"",3468,2020-06-04-07-02,2020-06-04-07-11,9
s.ebb04c1c-7c50-4b7e-a1e5-90173f380b10.txt,1337,8289,8893,2858,"","","","","","","","","","","","","","",5169,2020-06-03-08-37,"",""
s.a08c387c-ca73-4597-967e-a0e06c3c1711.txt,18034,3572,13108,"","","","","","","","","","","","","","","",27217,2020-06-03-02-39,"",""
s.b562d1d7-902e-4309-901f-7f53cce1383f.txt,1091,3877,9381,3487,2402,2099,4186,15293,7224,4959,2222,2376,4406,3859,3104,"",2893,"",5611,2020-06-03-21-24,2020-06-03-21-37,13
s.e182eeee-d22b-4e41-8878-13369490ca41.txt,19129,4161,6243,3920,2108,2648,3388,3797,4040,2866,2052,2157,"",3898,1993,"",2596,"",30046,2020-06-04-04-29,2020-06-04-04-41,12
s.032dbe6e-e057-4307-9a3a-d10a09055a4d.txt,1461,2835,7003,11834,6535,69129,58299,5025,13188,3680,2291,3253,"",25163,2389,"",1470,"",4668,2020-06-03-05-35,2020-06-03-05-52,17
s.91c9f1d3-41e6-42f2-91ac-e0b3850c0748.txt,26828,3860,7627,3156,2128,1613,3609,2014,4914,4319,2801,10553,"",2835,2411,"",1836,"",18545,2020-06-03-05-44,2020-06-03-06-03,19
s.c1c5ff54-d9a3-4d14-b24b-4b9641c4da33.txt,2414,4275,10627,4392,2732,3378,3266,3991,8253,3116,2787,2652,5694,14351,2798,"",2958,"",15130,2020-06-03-02-28,2020-06-03-02-38,10
s.aed16119-3fa5-4dbf-9002-23542a833fa7.txt,8885,2779,4553,6093,1777,1868,1977,4791,5126,2412,2018,1353,"",4376,2607,"",1581,"",12589,2020-06-02-23-15,2020-06-02-23-26,11
s.77fb621a-8a5c-4248-8fad-929af6017abe.txt,1170,4674,7006,2541,2834,1253,1331,1452,2315,1897,1382,1766,"",1903,3781,"",4945,"",5583,2020-06-03-06-35,"",""
s.9f1feb48-06ec-4d29-ab65-e99dd3bad178.txt,2710,4620,6057,3421,21180,3579,4140,4165,8459,9638,3011,8319,"",3443,4172,"",1883,"",18470,2020-06-03-22-11,2020-06-03-22-23,12
s.af498c94-f002-4382-a361-eeb949731f0d.txt,1320,3677,7486,3453,1516,1028,1967,1747,2301,1607,1466,1423,"",1375,2012,"",1330,"",3754,2020-06-04-00-28,2020-06-04-00-39,11
s.978c8af2-0b5e-4c0d-8187-3e8c6c657339.txt,1167,3002,5562,1824,1652,1159,1879,1810,22011,1957,1658,1028,"",2393,1777,"",787,"",6660,2020-06-03-20-48,"",""
s.1b7334d5-17ea-4d0f-845f-e7cbb8924218.txt,1152,5540,10335,5093,1834,2817,5322,2797,13739,2831,3688,17487,5411,17454,2534,"",1967,"",27447,2020-06-03-19-11,2020-06-03-19-25,14
s.563d30f5-682c-4475-9427-eac5850295fc.txt,13697,8495,7617,3325,7227,2062,6365,4256,32037,3597,2199,2118,"",43501,3970,"",8509,"",396339,2020-06-03-07-53,"",""
s.b21db904-d4a3-4258-a8c3-cd9e82aa063d.txt,14644,11036,6250,6720,1562,3504,5310,5547,12333,4306,2754,4449,"",18408,3660,"",4016,"",34807,2020-06-03-09-30,2020-06-03-09-57,27
s.de8e77c2-5963-4179-b2d6-87e9fd120501.txt,2326,3969,7401,6530,2738,2971,7085,3729,5894,2840,3330,5311,4616,8281,2956,"",4131,"",11369,2020-06-03-18-27,2020-06-03-18-46,19
s.d661310b-65f5-4265-bcba-372e6fc94d8a.txt,1440,3771,6002,3117,2699,3306,2021,6837,8850,2946,4765,15140,6312,9653,2871,"",1634,"",8013,2020-06-03-02-42,2020-06-03-02-54,12
s.12163f81-ee59-46c2-8af2-6969aedebc8b.txt,1210,5492,5649,3625,1483,1671,4181,1609,8295,2143,2075,2348,2957,8810,2082,"",3842,"",6964,2020-06-03-16-56,2020-06-03-17-09,13
s.0d153f01-9d52-449a-a6d1-048438b09bb8.txt,22797,4396,5835,3192,1872,1885,3393,3691,8965,3836,2221,1958,8054,12488,1868,"",1217,"",82703,2020-06-02-23-20,2020-06-02-23-33,13
s.137d2ac0-50fc-4d9d-ad20-822d8cfebe48.txt,1156,2972,18866,2495,1536,1833,1659,1764,2887,2086,2134,1514,"",2207,1608,"",1162,"",2674,2020-06-03-00-27,2020-06-03-00-43,16
s.b83b5266-b306-424e-b5b5-7c0741691841.txt,20784,4964,9625,5983,2215,2512,5556,5441,27347,7589,3519,6107,8325,34161,5396,"",3595,"",296200,2020-06-03-07-13,2020-06-03-07-37,24
s.63898d71-a11e-495f-b26a-d5939ddd96b1.txt,1153,4033,6173,3074,3298,2297,3067,3431,11594,3798,2156,1937,"",12896,2034,"",4813,"",5617,2020-06-02-23-44,2020-06-02-23-57,13
s.4e9df98e-a01c-4c18-8cdb-4ffe3343e8ea.txt,2140,5351,5701,2065,1405,1949,3101,3393,12491,2409,1720,1692,3845,4276,2218,"",2947,"",6956,2020-06-03-19-01,2020-06-03-19-11,10
s.caac718a-99bb-4205-92c1-98f7ce7fa780.txt,14578,2989,5261,4405,2216,3602,2305,3339,5188,2684,2460,2081,"",2922,2292,"",1851,"",36031,2020-06-03-05-08,"",""
s.e7afdf1d-5064-4fdd-8fd0-7c11944632fd.txt,818,3067,5198,3665,1562,1468,3305,2939,5702,2417,1360,2370,"",13005,2252,"",2248,"",4098,2020-06-03-04-15,2020-06-03-04-24,9
s.33f68483-843b-4a37-82f4-97393c89e653.txt,25098,3977,5700,2212,1940,1784,2089,2067,2799,1976,2106,2161,4564,2024,2055,"",1024,"",24654,2020-06-03-07-43,2020-06-03-08-00,17
